TableNumber,ImageNumber,Image_FileName_DAPI,Image_PathName_DAPI,Image_FileName_Tubulin,Image_PathName_Tubulin,Image_FileName_Actin,Image_PathName_Actin,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Replicate,Image_Metadata_Compound,Image_Metadata_Concentration,MoA,Unique_MoA,Unique_Treatments,Unique_Compounds,Plate,Batch
1,9,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w11323931B-BDA7-4F42-870E-7174BFBF3643_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w2F8F7EA7A-EC57-49CA-A556-22AE0E990BF1_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w494DCA5C4-3531-497D-A8B0-D53AA25DB02B_corrected_resized.tiff,,Week1_22123,B04,1,cytochalasin B,10.0,Actin disruptors,0,0,0,0,0
1,10,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w1F649C703-6FA8-406F-8575-CBEAC160B4BD_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w2802CC81E-56F9-41C5-A6C2-E5A0F233ED3B_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w4342F300D-60F8-4256-A637-F1367E14BE5E_corrected_resized.tiff,,Week1_22123,B04,1,cytochalasin B,10.0,Actin disruptors,0,0,0,0,0
1,11,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w135D66B4C-0548-4AB8-A57B-9CC39666813B_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w2D81AEFB9-9DD4-4B59-9177-2093F0815C94_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w408BE006A-BF34-457E-81A9-FAB019FE8996_corrected_resized.tiff,,Week1_22123,B04,1,cytochalasin B,10.0,Actin disruptors,0,0,0,0,0
1,12,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w1EB720AD1-83BA-48A7-8C47-73A4F7EC5F1A_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w261B79A05-7534-46F3-8C80-D67A89A3A125_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w49FF7E7B1-F049-4994-BCA2-ABE5D4A3C761_corrected_resized.tiff,,Week1_22123,B04,1,cytochalasin B,10.0,Actin disruptors,0,0,0,0,0
1,249,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w17D5A011C-EA14-4EA7-A62C-FC41C4AEA34A_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w20ED4F2D9-0D4A-4CA6-A13D-1BF715B6B3FB_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w413EE84DD-212B-4008-99A9-A397F82B348B_corrected_resized.tiff,,Week1_22141,B04,2,cytochalasin B,10.0,Actin disruptors,0,0,0,1,0
1,250,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w1659770A4-821C-453C-8EA4-A640F9CAA1AB_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w25F209DAD-AE89-427A-AB0B-811F4BE75226_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w43B325113-EC6A-49B2-B524-EDD3A25921C4_corrected_resized.tiff,,Week1_22141,B04,2,cytochalasin B,10.0,Actin disruptors,0,0,0,1,0
1,251,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w1B0B8AAC7-F2AD-4756-939C-6151431D5637_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w25C7FD77E-FDC4-471F-A512-6018D98F1D6A_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s3_w42BD03411-D32F-4179-A6C5-C4D27E937A93_corrected_resized.tiff,,Week1_22141,B04,2,cytochalasin B,10.0,Actin disruptors,0,0,0,1,0
1,252,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w19547EEA6-60FB-443F-B66C-5E6955A0DC15_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w2C3310555-4138-4BB0-985E-55CB50A9DAAC_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s4_w46B036C64-286F-4F3F-9F7B-916EA7F6692A_corrected_resized.tiff,,Week1_22141,B04,2,cytochalasin B,10.0,Actin disruptors,0,0,0,1,0
1,489,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w1CA838496-DF71-40B2-B62F-23A995576638_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w206E48C71-130F-4079-B496-CB86537BAF1E_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s1_w481193CDC-607C-46EE-A026-746058BAE10F_corrected_resized.tiff,,Week1_22161,B04,3,cytochalasin B,10.0,Actin disruptors,0,0,0,2,0
1,490,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w14267EFE5-63A5-4B16-91BD-70708E55F937_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w2A5D3DB3D-8C3A-4A09-9932-06FCB268793D_corrected_resized.tiff,,/home/wilec5/scratch/bbbc/corrected/ws-dino/phase_2/Week1_150607_B04_s2_w4FCBD0752-0DEC-447C-8F8F-D520925CFBD8_corrected_resized.tiff,,Week1_22161,B04,3,cytochalasin B,10.0,Actin disruptors,0,0,0,2,0
